gene,cell
A2M,Endothelial Cells
AAK1,GABAergic Neurons
AATK,Oligodendrocytes
AATK1,Oligodendrocytes
ABAT,GABAergic Neurons
ABCA2,Oligodendrocytes
ABCA21,Oligodendrocytes
ABCB1,Endothelial Cells
ABCG2,Endothelial Cells
ABHD2,Oligodendrocyte Precursor Cells
ABLIM1,Astrocytes
ABLIM11,Astrocytes
ABLIM12,Endothelial Cells
AC007246.3,Pyramidal Neurons
AC011526.1,Endothelial Cells
AC079354.1,Neuronal Stem Cells
ACADVL,Astrocytes
ACAP3,Pyramidal Neurons
ACAP31,Granule Neurons
ACOT11,Astrocytes
ACOT111,Astrocytes
ACOT112,Neuronal Stem Cells
ACSL6,GABAergic Neurons
ACSL61,Astrocytes
ACSL62,Astrocytes
ACSS1,Astrocytes
ACSS11,Astrocytes
ACTB1,Neuronal Stem Cells
ACTB2,Endothelial Cells
ACTG1,Neuronal Stem Cells
ACTG11,Endothelial Cells
ACTN1,Endothelial Cells
ACTN4,Endothelial Cells
ACTR2,Excitatory Neurons
ACVRL1,Endothelial Cells
ADAM11,Pyramidal Neurons
ADAM22,Granule Neurons
ADAM28,Microglia
ADD1,Endothelial Cells
ADD31,Astrocytes
ADD32,Astrocytes
ADGB,Neuronal Stem Cells
ADIPOR2,Endothelial Cells
ADIRF,Endothelial Cells
AEBP1,Astrocytes
AGBL2,Neuronal Stem Cells
AGT,Astrocytes
AGT1,Neuronal Stem Cells
AHCYL1,Astrocytes
AHCYL11,Astrocytes
AHI1,Pyramidal Neurons
AHI11,Pyramidal Neurons
AHI12,GABAergic Neurons
AHI13,GABAergic Neurons
AHNAK,Astrocytes
AHNAK1,Endothelial Cells
AIF1,Microglia
AIF1L,Endothelial Cells
AK1,Neuronal Stem Cells
AK7,Neuronal Stem Cells
AK9,Neuronal Stem Cells
AKAP12,Endothelial Cells
AKAP8L,Pyramidal Neurons
AKAP9,Oligodendrocytes
AKAP91,Neuronal Stem Cells
ALCAM,Oligodendrocytes
ALCAM1,Oligodendrocytes
ALCAM2,Oligodendrocyte Precursor Cells
AMER2,Oligodendrocytes
AMER21,Oligodendrocytes
ANAPC51,Oligodendrocytes
ANGPT2,Endothelial Cells
ANK3,Granule Neurons
ANKRD11,Pyramidal Neurons
ANKRD111,Pyramidal Neurons
ANKRD112,Granule Neurons
ANKRD12,GABAergic Neurons
ANKRD122,Oligodendrocytes
ANKRD26,GABAergic Neurons
ANKRD261,GABAergic Neurons
ANKRD265,Neuronal Stem Cells
ANKRD32,Pyramidal Neurons
ANKRD321,Pyramidal Neurons
ANKRD36,GABAergic Neurons
ANKRD36C,Oligodendrocytes
ANKS1B,Pyramidal Neurons
ANKS1B1,Granule Neurons
ANLN,Oligodendrocytes
ANO10,Excitatory Neurons
ANP32B,Endothelial Cells
ANPEP,Pericyte
ANPEP,Pericyte
ANXA1,Neuronal Stem Cells
ANXA11,Granule Neurons
ANXA3,Endothelial Cells
ANXA5,Endothelial Cells
AP1G2,Pyramidal Neurons
AP1S2,GABAergic Neurons
AP3S1,Excitatory Neurons
APBB1IP,Microglia
APC,Astrocytes
APC1,Astrocytes
APLP14,Oligodendrocytes
APLP15,Oligodendrocytes
APLP2,GABAergic Neurons
APOC1,Microglia
APOD,Oligodendrocytes
APOD1,Oligodendrocyte Precursor Cells
APOD2,Endothelial Cells
APOE,Microglia
APOE1,Astrocytes
APOLD1,Endothelial Cells
APP,GABAergic Neurons
AQP4,Astrocytes
AQP41,Astrocytes
AQP42,Neuronal Stem Cells
ARAP2,Oligodendrocytes
ARAP21,Oligodendrocytes
ARGLU1,Pyramidal Neurons
ARHGAP211,Oligodendrocytes
ARHGAP29,Endothelial Cells
ARHGAP5,Astrocytes
ARHGAP51,Astrocytes
ARHGEF25,Pyramidal Neurons
ARHGEF251,Pyramidal Neurons
ARHGEF4,Astrocytes
ARL3,Excitatory Neurons
ARL4A,Excitatory Neurons
ARL4C,GABAergic Neurons
ARL4C1,GABAergic Neurons
ARL4C2,Neuronal Stem Cells
ARL6IP1,GABAergic Neurons
ARMC2,Neuronal Stem Cells
ARMC3,Neuronal Stem Cells
ARPC1B,Endothelial Cells
ARPC3,Excitatory Neurons
ARPP21,Pyramidal Neurons
ARPP211,Pyramidal Neurons
ASAH1,Excitatory Neurons
ASH1L,Microglia
ASPA,Oligodendrocytes
ASPA1,Oligodendrocytes
ATCAY,GABAergic Neurons
ATCAY1,GABAergic Neurons
ATF6B,Excitatory Neurons
ATM,Microglia
ATP10A,Endothelial Cells
ATP1A2,Astrocytes
ATP1A21,Astrocytes
ATP1A22,Oligodendrocyte Precursor Cells
ATP1A23,Endothelial Cells
ATP1A3,GABAergic Neurons
ATP1B1,Pyramidal Neurons
ATP1B11,GABAergic Neurons
ATP1B12,GABAergic Neurons
ATP1B2,Astrocytes
ATP1B21,Astrocytes
ATP1B3,Excitatory Neurons
ATP2B1,Pyramidal Neurons
ATP2B11,Pyramidal Neurons
ATP2B12,Pyramidal Neurons
ATP2B13,Pyramidal Neurons
ATP2B14,Granule Neurons
ATP2B2,Pyramidal Neurons
ATP2B21,GABAergic Neurons
ATP5E,Endothelial Cells
ATP5G1,Excitatory Neurons
ATP5G2,Excitatory Neurons
ATP5G3,Excitatory Neurons
ATP5J,Excitatory Neurons
ATP5L,Excitatory Neurons
ATP6AP2,Excitatory Neurons
ATP6V1B2,Excitatory Neurons
ATP6V1D,Excitatory Neurons
ATP6V1F,Excitatory Neurons
ATP6V1G1,Excitatory Neurons
ATP8A1,Oligodendrocytes
ATP8A2,GABAergic Neurons
ATPIF1,Excitatory Neurons
ATRX,GABAergic Neurons
ATRX2,Microglia
B2M,Microglia
B2M1,Endothelial Cells
BAI3,Pyramidal Neurons
BAIAP2,Granule Neurons
BAIAP3,Neuronal Stem Cells
BASP1,Pyramidal Neurons
BASP11,Granule Neurons
BAZ2B4,Astrocytes
BAZ2B5,Astrocytes
BAZ2B6,Oligodendrocytes
BCAN,Astrocytes
BCAN1,Oligodendrocyte Precursor Cells
BCAS1,Oligodendrocytes
BCAS11,Oligodendrocytes
BCAS12,Oligodendrocyte Precursor Cells
BCL6,Neuronal Stem Cells
BCYRN1,Pyramidal Neurons
BDP1,Pyramidal Neurons
BDP11,Pyramidal Neurons
BDP12,Pyramidal Neurons
BEX1,Excitatory Neurons
BEX2,Excitatory Neurons
BEX4,Excitatory Neurons
BEX5,Excitatory Neurons
BGN,Endothelial Cells
BHLHE40,Endothelial Cells
BHLHE41,Microglia
BMPR2,Endothelial Cells
BRK1,Excitatory Neurons
BSG,Endothelial Cells
BST2,Endothelial Cells
BTBD3,Granule Neurons
BTF3,Excitatory Neurons
BTG2,Neuronal Stem Cells
BTG21,Endothelial Cells
BTNL9,Granule Neurons
BTNL91,Endothelial Cells
C10orf10,Endothelial Cells
C10orf54,Endothelial Cells
C11orf58,Neuronal Stem Cells
C11orf87,Granule Neurons
C11orf88,Neuronal Stem Cells
C12orf55,Neuronal Stem Cells
C12orf57,Endothelial Cells
C14orf2,Excitatory Neurons
C17orf72,Neuronal Stem Cells
C19orf43,Excitatory Neurons
C19orf53,Excitatory Neurons
C1orf173,Granule Neurons
C1orf61,Astrocytes
C1orf611,Astrocytes
C1orf612,Oligodendrocyte Precursor Cells
C1orf64,Endothelial Cells
C1QA,Microglia
C1QB,Microglia
C1QC,Microglia
C20orf96,Neuronal Stem Cells
C21orf58,Neuronal Stem Cells
C3,Microglia
C4orf22,Neuronal Stem Cells
C4orf47,Neuronal Stem Cells
C5AR1,Neuronal Stem Cells
C5orf45,Excitatory Neurons
C6orf118,Neuronal Stem Cells
C7orf63,Neuronal Stem Cells
C8orf34,Neuronal Stem Cells
C9orf117,Neuronal Stem Cells
C9orf16,Pyramidal Neurons
C9orf24,Neuronal Stem Cells
CABLES1,Astrocytes
CABP1,Pyramidal Neurons
CABP11,Pyramidal Neurons
CACNA1A,GABAergic Neurons
CACNA1B,GABAergic Neurons
CACNA1E,Pyramidal Neurons
CACNA1E1,Granule Neurons
CACNG8,Pyramidal Neurons
CACNG81,Pyramidal Neurons
CACNG82,GABAergic Neurons
CACNG83,Granule Neurons
CADM1,Astrocytes
CADPS,Pyramidal Neurons
CADPS1,Pyramidal Neurons
CADPS2,GABAergic Neurons
CADPS3,Granule Neurons
CALD1,Oligodendrocytes
CALD11,Endothelial Cells
CALM1,Granule Neurons
CALM2,Pyramidal Neurons
CALM3,Pyramidal Neurons
CAMK1D,Pyramidal Neurons
CAMK1D1,Granule Neurons
CAMK2A,Pyramidal Neurons
CAMK2A1,Pyramidal Neurons
CAMK2A2,Pyramidal Neurons
CAMK2A4,Granule Neurons
CAMK2B,Pyramidal Neurons
CAMK2B1,Pyramidal Neurons
CAMK2B2,Granule Neurons
CAMK2G,Astrocytes
CAMK2G1,Astrocytes
CAMK2N1,Granule Neurons
CAMKK2,Pyramidal Neurons
CAMKV,Granule Neurons
CAMTA1,GABAergic Neurons
CAMTA11,GABAergic Neurons
CANX,Neuronal Stem Cells
CAP1,Endothelial Cells
CAPNS1,Endothelial Cells
CAPS,Neuronal Stem Cells
CAPS2,Neuronal Stem Cells
CARNS1,Oligodendrocytes
CARNS11,Oligodendrocytes
CASC1,Neuronal Stem Cells
CAST,Neuronal Stem Cells
CAST1,Endothelial Cells
CCBE1,Pyramidal Neurons
CCDC108,Neuronal Stem Cells
CCDC11,Neuronal Stem Cells
CCDC113,Neuronal Stem Cells
CCDC12,Excitatory Neurons
CCDC13,Neuronal Stem Cells
CCDC146,Neuronal Stem Cells
CCDC153,Neuronal Stem Cells
CCDC170,Neuronal Stem Cells
CCDC173,Neuronal Stem Cells
CCDC175,Neuronal Stem Cells
CCDC176,Neuronal Stem Cells
CCDC181,Neuronal Stem Cells
CCDC19,Neuronal Stem Cells
CCDC24,Excitatory Neurons
CCDC30,Neuronal Stem Cells
CCDC37,Neuronal Stem Cells
CCDC39,Neuronal Stem Cells
CCDC40,Neuronal Stem Cells
CCDC42B,Neuronal Stem Cells
CCDC50,Oligodendrocyte Precursor Cells
CCDC501,Endothelial Cells
CCDC78,Neuronal Stem Cells
CCDC88A3,Oligodendrocytes
CCK,GABAergic Neurons
CCND2,Granule Neurons
CCNI,GABAergic Neurons
CCNI1,Endothelial Cells
CCNL1,Endothelial Cells
CCP1105,Oligodendrocytes
CCP1106,Oligodendrocytes
CD13,Pericyte
CD146,Pericyte
CD22,Oligodendrocytes
CD34,Endothelial Cells
CD36,Neuronal Stem Cells
CD45,Microglia
CD46,Endothelial Cells
CD59,Endothelial Cells
CD63,Endothelial Cells
CD74,Microglia
CD81,Oligodendrocyte Precursor Cells
CD811,Neuronal Stem Cells
CD99,Neuronal Stem Cells
CDC37,Endothelial Cells
CDH5,Endothelial Cells
CDHR3,Neuronal Stem Cells
CDK10,Granule Neurons
CDK18,Oligodendrocytes
CDK181,Oligodendrocytes
CDK9,Granule Neurons
CDS1,Neuronal Stem Cells
CEBPD,Endothelial Cells
CELF2,Pyramidal Neurons
CELF21,Pyramidal Neurons
CELF22,Pyramidal Neurons
CELF23,Pyramidal Neurons
CELF24,Granule Neurons
CELF4,Pyramidal Neurons
CELF41,Pyramidal Neurons
CELF42,GABAergic Neurons
CELF43,GABAergic Neurons
CELF44,Granule Neurons
CELF5,Pyramidal Neurons
CELF51,Pyramidal Neurons
CEP350,Astrocytes
CERCAM,Oligodendrocytes
CERCAM1,Oligodendrocytes
CES4A,Excitatory Neurons
CETN2,Neuronal Stem Cells
CFAP36,Excitatory Neurons
CFH,Endothelial Cells
CFL1,Endothelial Cells
CFLAR,Endothelial Cells
CGNL1,Endothelial Cells
CHCHD10,Excitatory Neurons
CHCHD2,Excitatory Neurons
CHD2,Microglia
CHD3,Pyramidal Neurons
CHD31,Granule Neurons
CHD5,Pyramidal Neurons
CHD51,Pyramidal Neurons
CHD52,GABAergic Neurons
CHD53,Granule Neurons
CHD9,Microglia
CHGB,Granule Neurons
CHN1,Pyramidal Neurons
CHN11,Pyramidal Neurons
CHN12,Pyramidal Neurons
CHN13,Pyramidal Neurons
CHRM3,GABAergic Neurons
CIAO1,Excitatory Neurons
CIRBP,Excitatory Neurons
CISD1,Excitatory Neurons
CKB1,Astrocytes
CKB2,Astrocytes
CKB5,Neuronal Stem Cells
CKMT1B,Pyramidal Neurons
CKMT1B1,Pyramidal Neurons
CKMT1B2,GABAergic Neurons
CLDN11,Oligodendrocytes
CLDN111,Oligodendrocytes
CLDN5,Endothelial Cells
CLDND11,Oligodendrocytes
CLDND12,Oligodendrocytes
CLEC14A,Endothelial Cells
CLK1,Oligodendrocytes
CLSTN1,Neuronal Stem Cells
CLSTN2,Granule Neurons
CLSTN3,GABAergic Neurons
CLTA,Excitatory Neurons
CLU2,Astrocytes
CLU3,Astrocytes
CLU7,Neuronal Stem Cells
CMYA5,Oligodendrocyte Precursor Cells
CNDP1,Oligodendrocytes
CNDP11,Oligodendrocytes
CNGB1,Granule Neurons
CNKSR2,Pyramidal Neurons
CNKSR21,Granule Neurons
CNN3,Neuronal Stem Cells
CNP,Oligodendrocytes
CNP1,Oligodendrocytes
CNR1,GABAergic Neurons
CNTN2,Oligodendrocytes
CNTN21,Oligodendrocytes
CNTN3,Neuronal Stem Cells
CNTNAP2,GABAergic Neurons
CNTRL,Neuronal Stem Cells
COA3,Excitatory Neurons
COBLL1,Endothelial Cells
COL11A1,Oligodendrocyte Precursor Cells
COL12A1,Granule Neurons
COL16A1,Oligodendrocytes
COL16A11,Oligodendrocyte Precursor Cells
COL24A1,Pyramidal Neurons
COL24A11,Pyramidal Neurons
COL5A2,Pyramidal Neurons
COL5A3,Astrocytes
COL5A31,Astrocytes
COL5A32,Neuronal Stem Cells
COL8A1,Neuronal Stem Cells
COL9A1,Oligodendrocyte Precursor Cells
COPS6,Excitatory Neurons
CORO6,Pyramidal Neurons
CORO61,GABAergic Neurons
COX4I1,Excitatory Neurons
COX5A,Excitatory Neurons
COX6C,Excitatory Neurons
COX7A1,Endothelial Cells
CP,Neuronal Stem Cells
CP1,Endothelial Cells
CPD,Endothelial Cells
CPE,Astrocytes
CPE1,Astrocytes
CPE2,Oligodendrocyte Precursor Cells
CPLX2,Granule Neurons
CRB1,Neuronal Stem Cells
CRBN,Excitatory Neurons
CREG2,Granule Neurons
CRIM1,Endothelial Cells
CRIP2,Endothelial Cells
CRYAB,Astrocytes
CRYAB1,Oligodendrocytes
CRYAB2,Oligodendrocytes
CSDE1,Endothelial Cells
CSF1R,Microglia
CSF2RA,Microglia
CSF3R,Microglia
CSMD1,Excitatory Neurons
CSMD3,Granule Neurons
CSPG4,Oligodendrocyte Precursor Cells
CSPG5,Oligodendrocyte Precursor Cells
CSPP1,Neuronal Stem Cells
CSRP1,Oligodendrocytes
CST3,Astrocytes
CST31,Astrocytes
CST32,Oligodendrocyte Precursor Cells
CST33,Neuronal Stem Cells
CSTB,Excitatory Neurons
CTGF,Neuronal Stem Cells
CTGF1,Endothelial Cells
CTNNB1,Endothelial Cells
CTNND2,Astrocytes
CTSB,Microglia
CTXN1,Neuronal Stem Cells
CX3CR1,Microglia
CXCL14,GABAergic Neurons
CYB5R3,Endothelial Cells
CYCS,Excitatory Neurons
CYP46A1,Pyramidal Neurons
CYR61,Neuronal Stem Cells
DAAM1,Pyramidal Neurons
DAAM11,GABAergic Neurons
DAAM2,Astrocytes
DAPK1,Granule Neurons
DBI,Astrocytes
DCDC1,Neuronal Stem Cells
DCLK2,Astrocytes
DCN,Endothelial Cells
DCTN2,Excitatory Neurons
DCX,Neurons
DDB1,Neuronal Stem Cells
DDR1,Neuronal Stem Cells
DDRGK1,Excitatory Neurons
DDX1,Excitatory Neurons
DDX5,Neuronal Stem Cells
DDX51,Endothelial Cells
DEK,Endothelial Cells
DENND3,Microglia
DGCR5,Pyramidal Neurons
DGCR51,Pyramidal Neurons
DGKG,Granule Neurons
DGKZ,Pyramidal Neurons
DGKZ1,Pyramidal Neurons
DGKZ2,Granule Neurons
DHFR,Excitatory Neurons
DICER1,Oligodendrocytes
DKFZP761J1410,Granule Neurons
DKK3,Pyramidal Neurons
DKK31,GABAergic Neurons
DLEC1,Neuronal Stem Cells
DLG14,Oligodendrocytes
DLG2,Excitatory Neurons
DLGAP1,Pyramidal Neurons
DLGAP11,GABAergic Neurons
DLGAP2,Pyramidal Neurons
DLGAP21,Pyramidal Neurons
DLX6-AS1,GABAergic Neurons
DLX6-AS11,GABAergic Neurons
DMD,Pyramidal Neurons
DMD1,Neuronal Stem Cells
DNAAF1,Neuronal Stem Cells
DNAH10,Neuronal Stem Cells
DNAH11,Neuronal Stem Cells
DNAH12,Neuronal Stem Cells
DNAH5,Neuronal Stem Cells
DNAH6,Neuronal Stem Cells
DNAH7,Neuronal Stem Cells
DNAH9,Neuronal Stem Cells
DNAI2,Neuronal Stem Cells
DNAJB2,Oligodendrocytes
DNAJC10,Neuronal Stem Cells
DNAL1,Neuronal Stem Cells
DNALI1,Neuronal Stem Cells
DNER,GABAergic Neurons
DNER1,Oligodendrocyte Precursor Cells
DNM1,GABAergic Neurons
DNM11,Granule Neurons
DNM1L,Excitatory Neurons
DOC2A,Neuronal Stem Cells
DOCK10,Oligodendrocytes
DOCK4,Pyramidal Neurons
DOCK41,Pyramidal Neurons
DOCK42,Granule Neurons
DOCK43,Microglia
DOCK5,Oligodendrocytes
DOCK51,Oligodendrocytes
DOCK9,Endothelial Cells
DPP6,Neuronal Stem Cells
DPYSL3,Neuronal Stem Cells
DRC1,Neuronal Stem Cells
DST2,Astrocytes
DST3,Astrocytes
DST4,Oligodendrocytes
DST5,Oligodendrocytes
DSTN,Excitatory Neurons
DTHD1,Neuronal Stem Cells
DTNA,Astrocytes
DTNA1,Astrocytes
DTNA3,Neuronal Stem Cells
DUSP1,Neuronal Stem Cells
DUSP11,Endothelial Cells
DUSP18,Neuronal Stem Cells
DYDC2,Neuronal Stem Cells
DYNC2H1,Neuronal Stem Cells
DYNLL1,Excitatory Neurons
DYNLRB2,Neuronal Stem Cells
DZIP3,Neuronal Stem Cells
ECHDC2,Astrocytes
ECHDC21,Neuronal Stem Cells
EDIL3,Oligodendrocytes
EDIL31,Oligodendrocytes
EDN1,Endothelial Cells
EEF1A1,Oligodendrocytes
EEF1D,Endothelial Cells
EEF2,Endothelial Cells
EFCAB1,Neuronal Stem Cells
EFCAB2,Neuronal Stem Cells
EFEMP1,Neuronal Stem Cells
EFHC1,Neuronal Stem Cells
EGFL7,Endothelial Cells
EGR1,Neuronal Stem Cells
EHBP1L1,Neuronal Stem Cells
EID1,Excitatory Neurons
EIF1,Endothelial Cells
EIF1B,Excitatory Neurons
EIF2AK2,Endothelial Cells
EIF3A,Endothelial Cells
EIF3K,Excitatory Neurons
EIF4G2,Endothelial Cells
ELAVL2,GABAergic Neurons
ELAVL3,GABAergic Neurons
ELN,Neuronal Stem Cells
ELOVL7,Endothelial Cells
ELTD1,Endothelial Cells
EML6,Inhibitory Neurons
EMP2,Endothelial Cells
ENC1,Pyramidal Neurons
ENC11,Pyramidal Neurons
ENC12,Pyramidal Neurons
ENC13,Pyramidal Neurons
ENC15,Granule Neurons
ENG,Endothelial Cells
ENKUR,Neuronal Stem Cells
ENO1,Neuronal Stem Cells
ENO2,Neurons
ENPP2,Oligodendrocytes
ENPP21,Oligodendrocytes
ENY2,Excitatory Neurons
EPAS1,Endothelial Cells
EPB41L2,Microglia
EPHA4,Pyramidal Neurons
EPHA7,Granule Neurons
EPHB6,Pyramidal Neurons
EPHB61,Pyramidal Neurons
EPHB62,GABAergic Neurons
EPN2,Oligodendrocyte Precursor Cells
ERBB2IP,Oligodendrocytes
ERBB2IP1,Oligodendrocytes
ERBB3,Oligodendrocytes
ERBB31,Oligodendrocytes
ERBB4,GABAergic Neurons
ERBB41,GABAergic Neurons
ERC2,Granule Neurons
ERH,Excitatory Neurons
ERMN,Oligodendrocytes
ERP29,Excitatory Neurons
ESAM,Endothelial Cells
ESYT2,Endothelial Cells
ETNPPL,Astrocytes
ETNPPL1,Astrocytes
ETS1,Endothelial Cells
ETS2,Endothelial Cells
EVL,Pyramidal Neurons
EVL1,Pyramidal Neurons
EVL2,GABAergic Neurons
EXPH5,Neuronal Stem Cells
EYA4,Neuronal Stem Cells
EZR,Astrocytes
EZR1,Neuronal Stem Cells
FAM107A,Astrocytes
FAM107A1,Astrocytes
FAM107A2,Endothelial Cells
FAM118A,Granule Neurons
FAM118A1,Neuronal Stem Cells
FAM127A,Excitatory Neurons
FAM153B,Pyramidal Neurons
FAM153B1,Pyramidal Neurons
FAM153B2,Pyramidal Neurons
FAM153B3,Granule Neurons
FAM153C,Granule Neurons
FAM178A,Oligodendrocytes
FAM179A,Neuronal Stem Cells
FAM183A,Neuronal Stem Cells
FAM184A,Neuronal Stem Cells
FAM213A,Endothelial Cells
FAM227A,Neuronal Stem Cells
FAM229B,Neuronal Stem Cells
FAM65B,GABAergic Neurons
FAM81B,Neuronal Stem Cells
FANCC,Oligodendrocytes
FANK1,Neuronal Stem Cells
FBXO2,Excitatory Neurons
FBXW7,Pyramidal Neurons
FBXW71,Pyramidal Neurons
FBXW72,Pyramidal Neurons
FBXW73,Pyramidal Neurons
FGD2,Microglia
FGFR1,Neuronal Stem Cells
FGFR3,Astrocytes
FGFR31,Astrocytes
FHAD1,Neuronal Stem Cells
FHL1,Granule Neurons
FHL11,Neuronal Stem Cells
FKBP1A,Endothelial Cells
FLCN,Granule Neurons
FLI1,Endothelial Cells
FLT1,Endothelial Cells
FMNL22,Oligodendrocytes
FN1,Endothelial Cells
FNBP1,Astrocytes
FNBP11,Astrocytes
FNBP12,Oligodendrocytes
FNBP13,Oligodendrocytes
FNDC3B,Excitatory Neurons
FOS,Astrocytes
FOS1,Neuronal Stem Cells
FOS2,Endothelial Cells
FOSB,Neuronal Stem Cells
FOSL2,Endothelial Cells
FOXC1,Endothelial Cells
FOXJ1,Neuronal Stem Cells
FOXP1,Endothelial Cells
FRAS1,Pyramidal Neurons
FRMD4A,Microglia
FRMD4B,Oligodendrocytes
FRMD4B1,Oligodendrocytes
FRMPD2,Neuronal Stem Cells
FRRS1L,Pyramidal Neurons
FRRS1L1,GABAergic Neurons
FRYL,Oligodendrocytes
FRYL1,Oligodendrocytes
FSTL1,Neuronal Stem Cells
FTH15,Oligodendrocytes
FTL2,Microglia
FTL3,Endothelial Cells
FUT9,Astrocytes
FUT91,Astrocytes
FXYD6,GABAergic Neurons
FXYD61,GABAergic Neurons
FYB,Microglia
FZD3,Pyramidal Neurons
FZD31,Neuronal Stem Cells
GABARAPL2,Excitatory Neurons
GABBR1,Astrocytes
GABBR2,GABAergic Neurons
GABRA1,GABAergic Neurons
GABRA11,GABAergic Neurons
GABRB2,Pyramidal Neurons
GABRB21,GABAergic Neurons
GABRB22,GABAergic Neurons
GABRG1,Neuronal Stem Cells
GABRG2,GABAergic Neurons
GAD1,GABAergic Neurons
GAD11,GABAergic Neurons
GAD2,GABAergic Neurons
